insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (582023009, 'Faulkner', 'Baelde', 'Killoran', 'Canada', '1998-08-19T17:06:23Z', 151);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (567605663, 'Roderic', 'Allman', 'Piggford', 'Portugal', '2018-07-28T03:51:12Z', 139);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (508377647, 'Gaylene', 'Dahlgren', 'Tindley', 'Belarus', '2007-09-05T21:09:22Z', 120);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (537017510, 'Bryn', 'Swate', 'Surby', 'China', '2001-07-15T04:16:44Z', 120);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (663266702, 'Lewie', 'Wytchard', 'Abbis', 'China', '1975-02-04T23:45:18Z', 155);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (620988809, 'Grover', 'Gariff', 'Vaggs', 'China', '2016-11-14T06:37:21Z', 109);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (577152284, 'Arney', 'Chalfant', 'McLeish', 'Poland', '1986-04-17T09:57:23Z', 104);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (643199315, 'Brynna', 'Uzielli', 'Keymer', 'France', '1988-05-02T07:52:10Z', 126);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (576957455, 'Marcellina', 'Almeida', 'Hughill', 'Indonesia', '1988-09-01T09:18:35Z', 132);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (681580628, 'Land', 'Maddin', 'Figgen', 'China', '2006-07-22T17:04:05Z', 126);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (680606483, 'Genny', 'Wiffler', 'Demageard', 'Yemen', '1938-12-03T20:21:22Z', 117);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (589231682, 'Beatrice', 'Burghill', 'Pentland', 'United States', '2002-11-24T18:12:51Z', 124);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (602480054, 'Daniel', 'Gentil', 'Findlay', 'Thailand', '1958-01-31T07:50:08Z', 150);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (661708070, 'Spenser', 'Murrigan', 'Kirkup', 'China', '1991-06-07T07:51:08Z', 101);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (628197482, 'Patti', 'Vowles', 'Jackalin', 'Comoros', '2007-05-10T04:15:52Z', 94);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (553188317, 'Neal', 'Pasley', 'Wisniewski', 'Russia', '1975-12-02T17:18:11Z', 107);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (628976798, 'Jack', 'Haysham', 'Terese', 'China', '1958-02-06T12:11:17Z', 100);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (584166128, 'Frederigo', 'McCowen', 'Leinthall', 'Russia', '1944-02-13T08:09:19Z', 137);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (526301915, 'Demott', 'Winmill', 'Byrkmyr', 'China', '1994-04-22T21:48:03Z', 134);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (672423665, 'Dougie', 'Waiting', 'Sidney', 'Poland', '1979-12-02T06:44:53Z', 134);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (550655540, 'Kathryne', 'Marshal', 'Dongall', 'France', '1955-06-28T21:39:02Z', 155);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (648654527, 'Regina', 'De Giovanni', 'Bonn', 'Kazakhstan', '2000-01-11T10:30:18Z', 107);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (654499397, 'Ferris', 'Lambregts', 'Cresar', 'Kenya', '1956-04-23T17:15:52Z', 119);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (642030341, 'Stirling', 'Sunshine', 'Poschel', 'Bosnia and Herzegovina', '2006-01-21T03:43:40Z', 152);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (615533597, 'Tremaine', 'Cuffe', 'Carlens', 'United States', '1942-03-03T06:57:12Z', 149);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (604428344, 'Kettie', 'Rowsel', 'Eccott', 'Canada', '1989-10-23T05:53:21Z', 148);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (627418166, 'Nichol', 'Freschini', 'Whaplington', 'China', '1945-04-17T21:41:39Z', 140);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (625275047, 'Aubrey', 'Lydden', 'Degoey', 'South Africa', '2000-10-09T20:18:24Z', 115);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (637744103, 'Tommie', 'Carah', 'Driffield', 'Indonesia', '1948-09-16T18:49:01Z', 106);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (549291737, 'Cathy', 'von Nassau', 'Halfhide', 'Colombia', '1934-09-19T04:34:43Z', 132);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (595271381, 'Kirbie', 'Ondrich', 'McGoogan', 'China', '1956-02-06T07:56:10Z', 110);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (660149438, 'Jessey', 'Thredder', 'Livock', 'Indonesia', '1999-01-03T10:19:32Z', 98);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (524548454, 'Andreas', 'Brecon', 'Kanter', 'Guatemala', '2018-02-01T19:23:04Z', 107);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (587478221, 'Kermit', 'O''Duilleain', 'Fransemai', 'Dominican Republic', '1984-04-25T08:25:18Z', 129);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (592348946, 'Filip', 'Bullingham', 'Bleackly', 'Japan', '1973-10-22T16:37:24Z', 107);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (662487386, 'Ulrick', 'Levay', 'Barbary', 'Brazil', '2013-08-27T10:15:04Z', 123);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (579295403, 'Helenelizabeth', 'Fouch', 'MacGall', 'Brazil', '1998-08-27T06:17:10Z', 151);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (507403502, 'Ester', 'Carrington', 'Scarce', 'Philippines', '1975-04-05T09:05:33Z', 129);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (536043365, 'Lindi', 'Henrionot', 'Sharpley', 'Russia', '1948-08-19T11:21:00Z', 152);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (651966620, 'Kassie', 'Lutsch', 'Reichartz', 'Venezuela', '1934-07-28T22:58:37Z', 111);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (641835512, 'Marjy', 'Kidgell', 'Ortzen', 'Russia', '1961-06-26T12:45:51Z', 120);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (530782982, 'Edyth', 'Stoven', 'Petticrow', 'Honduras', '1932-06-15T06:27:13Z', 148);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (677489219, 'Rafe', 'Lafay', 'Ladloe', 'Sweden', '1967-06-12T04:14:20Z', 157);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (619040519, 'Alexander', 'Husher', 'MacKeever', 'China', '1950-12-20T14:16:18Z', 95);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (561371135, 'Shelli', 'Androsik', 'Blinder', 'Philippines', '1964-08-14T03:11:14Z', 119);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (632873378, 'Gusella', 'Mitro', 'Newcombe', 'Ukraine', '1962-02-14T11:17:02Z', 94);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (534874391, 'Andriette', 'Leban', 'Poolman', 'Argentina', '1992-01-01T07:24:59Z', 152);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (566047031, 'Ingra', 'Baptie', 'Vakhrushin', 'Sweden', '2003-12-23T12:17:50Z', 119);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (558643529, 'Karlan', 'Ilsley', 'Kitcat', 'Russia', '1945-12-02T00:26:24Z', 130);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (609883556, 'Griffin', 'Rachuig', 'Sowerbutts', 'Tanzania', '1977-04-11T16:30:13Z', 101);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (695997974, 'Jolynn', 'McGivena', 'Nesbit', 'Russia', '1974-02-04T02:38:29Z', 98);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (675540929, 'Perceval', 'Garaway', 'Mitchenson', 'Argentina', '1959-05-17T01:45:53Z', 127);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (677099561, 'Adria', 'Girardi', 'Jennings', 'China', '1951-12-24T21:40:13Z', 129);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (648459698, 'Lem', 'Danelet', 'Housecraft', 'Argentina', '2017-06-17T08:25:49Z', 116);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (650407988, 'Bastian', 'Kemm', 'Fitzackerley', 'United States', '1966-09-06T11:06:17Z', 146);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (664630505, 'Valentin', 'Coombe', 'Fargie', 'Myanmar', '1990-02-15T17:55:35Z', 148);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (677684048, 'Hertha', 'Forty', 'Blagbrough', 'Armenia', '1947-09-28T14:03:52Z', 115);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (577347113, 'Romola', 'Midgely', 'McSorley', 'Philippines', '1968-09-25T08:34:43Z', 146);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (656252858, 'Hewitt', 'Lenoir', 'Glavias', 'Brazil', '2005-05-09T12:08:21Z', 134);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (632094062, 'Francene', 'Butter', 'Vegas', 'Serbia', '1994-12-12T20:50:55Z', 119);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (554746949, 'Margie', 'Kall', 'Van de Velde', 'China', '2017-03-05T23:03:07Z', 106);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (653525252, 'Tresa', 'Sabater', 'Sharville', 'China', '1971-10-14T18:00:19Z', 150);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (642419999, 'Waylen', 'Gerald', 'Robotham', 'United States', '1996-02-27T19:29:51Z', 117);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (540524432, 'Lizette', 'Cheeld', 'Bracknall', 'Russia', '1979-02-25T02:32:18Z', 146);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (553772804, 'Corbet', 'Elen', 'Provest', 'Sweden', '1978-07-26T01:41:25Z', 100);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (611052530, 'Hayden', 'Kildahl', 'Fellos', 'China', '1985-10-02T10:02:57Z', 158);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (674371955, 'Sindee', 'Littrick', 'Borsi', 'Brazil', '1992-02-22T05:20:42Z', 108);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (535848536, 'Engracia', 'Dome', 'Digle', 'China', '1973-06-21T15:48:25Z', 131);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (568774637, 'Delphinia', 'Massel', 'Rosenbush', 'Portugal', '1962-12-16T18:31:32Z', 100);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (542277893, 'Justin', 'Elwel', 'Carmel', 'France', '1989-03-24T13:28:02Z', 150);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (570917756, 'Kevyn', 'Wrathall', 'Rathmell', 'Russia', '1951-08-09T21:51:42Z', 125);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (597219671, 'Karia', 'Struttman', 'Estcourt', 'Ukraine', '1997-10-26T08:13:42Z', 108);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (638133761, 'Babette', 'Fromont', 'Vasyagin', 'Russia', '1977-05-19T11:49:46Z', 155);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (524158796, 'Lyle', 'Battlestone', 'Daintier', 'Mali', '1989-05-07T02:02:04Z', 107);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (549681395, 'Juan', 'Rickford', 'Burdin', 'Sweden', '1938-11-25T20:30:16Z', 121);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (617676716, 'Dione', 'Lashley', 'Coghlan', 'Indonesia', '1956-08-07T18:49:48Z', 139);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (521820848, 'Rena', 'Risbridge', 'Tongs', 'Morocco', '1974-11-12T16:16:43Z', 125);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (511300082, 'Kalinda', 'Tytterton', 'Ireland', 'Uganda', '1944-08-10T22:05:20Z', 146);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (670670204, 'Estrella', 'Lower', 'Drescher', 'China', '1981-09-30T04:01:29Z', 113);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (516950123, 'Hilario', 'Ortner', 'Yosifov', 'Iran', '1931-02-03T17:46:52Z', 144);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (547538276, 'Imogen', 'Rawcliffe', 'Vanlint', 'Nigeria', '1948-12-26T02:08:49Z', 150);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (572281559, 'Weston', 'Baroc', 'Croal', 'Luxembourg', '1952-10-28T13:20:21Z', 114);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (564098741, 'Walker', 'Grellier', 'D''Ruel', 'Germany', '2010-07-22T19:49:48Z', 129);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (682359944, 'Valery', 'Buttress', 'Simenet', 'Thailand', '2016-07-31T18:21:34Z', 132);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (554552120, 'Rollins', 'Futter', 'Fayers', 'Indonesia', '1972-02-08T17:09:15Z', 103);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (611831846, 'Antonietta', 'Tilford', 'Eaklee', 'China', '1945-08-06T04:45:41Z', 127);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (620404322, 'Sheelagh', 'Hatrick', 'Pepperill', 'Brazil', '1979-02-19T20:56:32Z', 141);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (544226183, 'Howie', 'MacNockater', 'Duer', 'Sudan', '1992-05-24T10:43:41Z', 114);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (682944431, 'Nikkie', 'Brasner', 'Stiven', 'China', '1937-02-06T20:57:53Z', 104);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (603649028, 'Barney', 'Windrass', 'Kures', 'United States', '1958-09-25T23:08:19Z', 108);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (694634171, 'Huntley', 'Mountlow', 'Cabble', 'Czech Republic', '1964-10-31T02:14:17Z', 147);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (600921422, 'Aluin', 'Ferro', 'Wildbore', 'Morocco', '2016-07-29T08:32:23Z', 133);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (587283392, 'Brit', 'Griston', 'Britland', 'Norway', '1988-10-26T23:15:36Z', 150);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (686841011, 'Adriana', 'Radbourne', 'Batchelar', 'China', '1958-11-14T23:15:51Z', 100);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (539550287, 'Tannie', 'Chrisp', 'Hearthfield', 'Indonesia', '1958-03-17T04:26:59Z', 117);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (556110752, 'Missy', 'Braithwaite', 'Richel', 'France', '1962-05-13T22:52:59Z', 113);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (587867879, 'Lewie', 'Dummett', 'Nickell', 'China', '1942-01-31T21:49:22Z', 118);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (571891901, 'Chan', 'Halfhide', 'Korpal', 'China', '1978-03-06T17:08:48Z', 139);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (691906565, 'Dela', 'Turk', 'Blagbrough', 'China', '1957-12-09T03:11:54Z', 119);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (517729439, 'Jody', 'Leupold', 'Impy', 'Sweden', '1971-07-22T21:54:19Z', 151);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (648849356, 'Fletch', 'Boyett', 'Antonioni', 'Thailand', '1948-05-30T09:06:48Z', 111);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (529029521, 'Jarvis', 'Bellany', 'Francescotti', 'Nigeria', '1981-10-27T23:26:15Z', 127);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (548902079, 'Shawn', 'Haye', 'Lauchlan', 'Indonesia', '2006-11-10T17:46:26Z', 136);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (530003666, 'Clemence', 'Alderton', 'Whiteson', 'Honduras', '1945-10-05T18:05:33Z', 134);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (507793160, 'Kelby', 'Vince', 'Valance', 'Philippines', '1956-11-27T11:50:38Z', 123);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (584750615, 'Dwain', 'Lorryman', 'Dabels', 'Nigeria', '1931-06-20T11:27:52Z', 134);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (618845690, 'Livvie', 'Aymeric', 'Ainge', 'Russia', '2007-04-05T17:58:08Z', 132);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (625469876, 'Yuri', 'Gipp', 'Duigan', 'Vietnam', '2017-07-31T15:03:17Z', 145);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (691322078, 'Marlin', 'Lynam', 'Antoshin', 'Portugal', '1943-12-20T01:13:32Z', 117);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (500389658, 'Thadeus', 'Local', 'Ruprechter', 'Sweden', '2007-11-27T02:08:52Z', 136);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (599362790, 'Glennie', 'Ruggier', 'Gurden', 'China', '1949-03-12T21:41:20Z', 149);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (651771791, 'Felicdad', 'Pendergrast', 'Rudd', 'Jamaica', '2015-12-14T14:06:03Z', 111);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (535458878, 'Ann', 'Longfield', 'Pelchat', 'Turkmenistan', '1948-04-29T05:46:03Z', 115);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (595855868, 'Hastie', 'Weildish', 'Giorgione', 'Nigeria', '2007-05-22T07:03:55Z', 107);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (623131928, 'Kitti', 'MacGaffey', 'Salleir', 'Indonesia', '1966-01-14T16:48:12Z', 96);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (539160629, 'Aubine', 'Budden', 'Klesse', 'China', '2005-10-09T11:29:21Z', 96);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (516170807, 'Damian', 'Levens', 'Albury', 'Greece', '1964-11-02T00:44:14Z', 118);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (514417346, 'Susannah', 'Almak', 'Pendleberry', 'Russia', '1963-03-04T00:12:43Z', 142);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (616118084, 'Peta', 'Iaduccelli', 'Batchelor', 'Indonesia', '1964-08-20T22:11:34Z', 130);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (582607496, 'Ashlan', 'Grimshaw', 'Bursell', 'Yemen', '1974-11-08T11:22:30Z', 158);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (559033187, 'Archibald', 'Clell', 'Eplate', 'Russia', '1968-04-26T09:20:58Z', 158);
