insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (363419714, 'Ivette', 'McGlew', 'Thomann', 'United Kingdom', '1960-09-14T05:53:31Z', 93);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (448822335, 'Boone', 'Jevon', 'Gregr', 'Brazil', '2001-01-15T17:40:11Z', 90);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (441235314, 'Nap', 'Laurencot', 'Grishanov', 'China', '1941-06-24T01:37:10Z', 64);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (349996523, 'Lazare', 'Kielty', 'Comben', 'Vietnam', '1977-05-11T14:43:50Z', 59);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (393184181, 'Teirtza', 'Fenn', 'Stollberger', 'China', '1968-09-28T01:25:30Z', 70);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (330153545, 'Sindee', 'Tookill', 'Shallcroff', 'Brazil', '2005-09-09T15:19:06Z', 61);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (387737089, 'Winni', 'Hartridge', 'Beels', 'El Salvador', '1953-10-07T17:26:39Z', 87);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (427033967, 'Rosalie', 'Gobourn', 'Paulich', 'Jordan', '1997-10-05T06:12:28Z', 67);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (301750851, 'Linnet', 'Placido', 'Clell', 'Russia', '2003-07-18T12:53:29Z', 82);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (423532265, 'Deck', 'Bendik', 'Ezzle', 'Cyprus', '1998-12-18T03:36:44Z', 69);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (391044252, 'Aurelie', 'Snelman', 'Kenafaque', 'Croatia', '1992-02-04T07:06:52Z', 76);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (471777937, 'Marian', 'Howick', 'Chatters', 'Indonesia', '1971-02-17T08:22:57Z', 70);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (382095458, 'Arny', 'Drake', 'Gillott', 'Indonesia', '1976-03-23T07:54:53Z', 79);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (321399290, 'Petunia', 'Gadsby', 'Andrzejewski', 'Czech Republic', '1969-09-17T04:34:45Z', 72);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (454074888, 'Kerry', 'McIlvenna', 'Petett', 'China', '1995-02-14T16:47:33Z', 76);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (472750632, 'Marleah', 'Minnock', 'Brelsford', 'Afghanistan', '1993-12-07T03:16:28Z', 62);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (485784745, 'Lucius', 'Santore', 'Frift', 'France', '1935-08-12T04:58:26Z', 76);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (372952125, 'Camella', 'Parlot', 'Wyldish', 'Yemen', '2007-11-11T05:45:39Z', 79);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (400187585, 'Terrye', 'Le Grice', 'Crowe', 'Poland', '1981-09-18T13:14:37Z', 60);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (412054464, 'Debera', 'Pervoe', 'Kestle', 'Ukraine', '1992-04-12T21:54:37Z', 67);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (396102266, 'Sande', 'Frizzell', 'McNysche', 'Russia', '1995-06-16T20:54:00Z', 68);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (409136379, 'Catha', 'Skeleton', 'Tomet', 'Belarus', '1942-10-01T00:26:32Z', 90);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (481115809, 'Lissie', 'Liptrot', 'Danilyak', 'China', '1975-04-18T07:39:52Z', 86);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (375675671, 'Almire', 'Fawdrey', 'Glitherow', 'Uganda', '1942-05-18T12:51:16Z', 82);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (487535596, 'Devinne', 'Reeder', 'Mattin', 'Pakistan', '1961-08-13T00:16:06Z', 71);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (370423118, 'Rickert', 'Hiddsley', 'Maudsley', 'Bosnia and Herzegovina', '1960-09-20T05:10:53Z', 76);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (421197797, 'Bronson', 'Dreng', 'Cayzer', 'Nigeria', '2005-04-01T10:18:40Z', 83);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (447266023, 'Morgan', 'Dionsetto', 'Filde', 'China', '1994-10-28T10:27:02Z', 90);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (355249076, 'Eirena', 'Rowett', 'Crossthwaite', 'Philippines', '1946-08-23T13:20:30Z', 93);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (440262619, 'Stacia', 'Slowgrave', 'Guidini', 'China', '1951-11-16T13:30:12Z', 67);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (481699426, 'Rollo', 'Lubeck', 'Sara', 'Martinique', '1996-06-04T19:58:23Z', 75);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (481893965, 'Tabina', 'Edmans', 'Outhwaite', 'China', '1935-11-15T04:17:33Z', 73);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (336962410, 'Kakalina', 'McNuff', 'Shoobridge', 'Philippines', '1988-10-08T09:51:58Z', 61);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (382289997, 'Edvard', 'Sibbering', 'Beneyto', 'Kazakhstan', '1954-10-22T17:35:34Z', 59);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (427617584, 'Forest', 'Spellard', 'Culshaw', 'Latvia', '1957-06-24T01:49:48Z', 83);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (346300282, 'Zelma', 'Stoney', 'Sivier', 'Botswana', '2006-07-07T17:51:23Z', 59);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (464190916, 'Krishnah', 'Dugue', 'Mulberry', 'China', '1972-03-25T10:53:24Z', 72);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (439873541, 'Carly', 'Curedell', 'Wassell', 'Pakistan', '1982-04-30T07:27:09Z', 92);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (318675744, 'Meade', 'Kensitt', 'Janes', 'Portugal', '1933-12-23T16:41:41Z', 63);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (358945317, 'Netti', 'Falloon', 'Briers', 'Sweden', '1969-08-04T22:09:41Z', 84);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (482088504, 'Lothaire', 'Clendinning', 'Geockle', 'Philippines', '1985-05-26T09:45:37Z', 74);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (416528861, 'Roddy', 'Ganforth', 'O''Curran', 'Indonesia', '1995-03-09T00:38:46Z', 65);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (372368508, 'Barret', 'Normansell', 'Stannus', 'Russia', '2002-10-03T16:16:05Z', 68);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (426061272, 'Brnaba', 'Vickars', 'Pavey', 'Czech Republic', '1942-07-13T05:17:01Z', 85);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (406996450, 'Shelly', 'Cowderay', 'Calyton', 'Japan', '1933-08-13T01:49:03Z', 78);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (484422972, 'Faunie', 'Fewkes', 'Gosnold', 'Czech Republic', '2014-10-29T00:35:34Z', 82);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (302918085, 'Madonna', 'Tisun', 'Jagson', 'China', '1965-05-14T02:46:49Z', 73);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (360890707, 'Costanza', 'Johnston', 'Milliere', 'Indonesia', '2018-12-13T19:10:56Z', 63);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (351747374, 'Alden', 'Soonhouse', 'Augustus', 'Portugal', '1964-03-24T08:37:52Z', 64);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (438511768, 'Tarah', 'Savile', 'Cuberley', 'Indonesia', '2009-01-30T18:59:32Z', 80);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (482866660, 'Kellyann', 'McMurray', 'Prisley', 'Nigeria', '1981-04-24T13:43:57Z', 90);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (418863329, 'Tressa', 'Thairs', 'Stripling', 'Indonesia', '2013-11-24T14:40:11Z', 84);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (379566451, 'Gerry', 'Hanster', 'Showt', 'Sweden', '1974-10-19T06:48:03Z', 81);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (370034040, 'Bird', 'Jiran', 'Ponter', 'Philippines', '2005-10-14T04:11:45Z', 64);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (300194539, 'Lissi', 'Errigo', 'Canlin', 'Nigeria', '2010-07-17T15:42:26Z', 58);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (391627869, 'Brody', 'Thoresby', 'Hebborne', 'Iran', '1958-03-25T13:20:25Z', 60);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (330542623, 'Ardine', 'Garms', 'Passby', 'Portugal', '1962-05-24T12:00:29Z', 60);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (376648366, 'Sylvester', 'Falco', 'Rraundl', 'Indonesia', '1954-08-23T21:51:02Z', 83);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (320232056, 'Cirillo', 'Degue', 'Flori', 'China', '1976-03-26T07:46:06Z', 60);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (462245526, 'Tami', 'McMaster', 'Mcettrick', 'Colombia', '1989-11-28T04:58:05Z', 76);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (340464112, 'Lianne', 'Kidby', 'Etchell', 'Finland', '1949-01-30T18:38:44Z', 86);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (336378793, 'Barbara', 'Coast', 'Seamer', 'Portugal', '1995-11-05T04:51:10Z', 89);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (456798434, 'Effie', 'Sarl', 'Gaitskill', 'Philippines', '1981-12-14T03:44:35Z', 60);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (302723546, 'Guendolen', 'Folbig', 'Lodevick', 'Bosnia and Herzegovina', '1951-06-27T16:55:22Z', 68);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (370617657, 'Felicle', 'Wornham', 'Kimblin', 'Thailand', '1980-10-07T08:25:01Z', 81);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (475474178, 'Amy', 'Lippatt', 'Lourens', 'Indonesia', '2019-01-20T14:09:21Z', 73);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (346494821, 'Chrystal', 'Dewett', 'Normand', 'Finland', '1945-03-11T03:32:58Z', 87);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (321010212, 'Nadya', 'MacNeachtain', 'Maystone', 'Vietnam', '2000-06-07T12:34:25Z', 79);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (413416237, 'Nikos', 'Atyea', 'Kunert', 'Sweden', '2014-11-12T12:25:50Z', 58);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (403494748, 'Maxine', 'Colcutt', 'Christoffersen', 'Syria', '1965-05-10T23:52:48Z', 83);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (429757513, 'Ricoriki', 'Valentin', 'Igo', 'China', '1936-02-27T10:58:32Z', 80);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (322955602, 'Alessandro', 'Jaquemar', 'Carah', 'Colombia', '2010-12-17T16:41:06Z', 74);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (424310421, 'Rancell', 'Lodden', 'Bertelmot', 'Sri Lanka', '1960-11-08T00:55:54Z', 93);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (344549431, 'Leta', 'Bleeze', 'Fitzroy', 'Peru', '1931-07-26T13:09:17Z', 90);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (396880422, 'Annecorinne', 'Whitechurch', 'Armitage', 'Japan', '2007-04-28T07:02:47Z', 79);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (445126094, 'Beatrice', 'Smithyman', 'Obington', 'Indonesia', '1981-12-21T04:40:34Z', 86);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (478003185, 'Pam', 'Brownjohn', 'Shalloo', 'Portugal', '1931-12-16T05:42:03Z', 80);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (394351415, 'Averell', 'Vequaud', 'Casbon', 'Argentina', '1988-07-31T12:05:59Z', 63);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (367894111, 'Stephenie', 'Bool', 'Gierardi', 'Ivory Coast', '2004-04-16T00:54:47Z', 70);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (489675525, 'Vassili', 'Julian', 'McAvaddy', 'China', '1951-09-08T06:38:25Z', 85);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (449405952, 'Frans', 'Gurnay', 'Gerrett', 'South Africa', '2016-11-23T14:32:07Z', 58);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (396491344, 'Eveleen', 'Craddock', 'Statter', 'Sweden', '1946-11-04T07:49:09Z', 81);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (310894184, 'Sterling', 'Philipot', 'Kipling', 'Jordan', '1990-12-09T11:03:03Z', 68);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (405245599, 'Matty', 'Blackhurst', 'Sterman', 'Philippines', '1943-05-06T23:49:40Z', 72);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (403300209, 'De', 'Romanski', 'St. Quentin', 'United States', '1992-05-30T12:05:32Z', 88);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (421003258, 'Tove', 'Collens', 'Gunney', 'Tunisia', '1996-04-23T23:01:05Z', 57);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (444931555, 'Hedvig', 'Witham', 'Alebrooke', 'Philippines', '1988-07-04T00:21:27Z', 59);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (381317302, 'Englebert', 'Bottomley', 'Robey', 'China', '1995-03-15T20:48:56Z', 92);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (494539000, 'Brennan', 'Rawlin', 'Jacobsson', 'Tunisia', '1955-07-12T16:41:32Z', 62);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (492399071, 'Isabella', 'Aronovitz', 'Golden', 'Canada', '1932-10-15T11:38:17Z', 65);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (419446946, 'Rafaello', 'Dallow', 'Vousden', 'China', '1981-07-24T03:45:55Z', 88);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (398047656, 'Deborah', 'Healings', 'Chappel', 'Sweden', '1950-02-10T04:05:54Z', 67);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (497262546, 'Corissa', 'Wharlton', 'Levis', 'Cameroon', '1973-02-24T14:53:38Z', 93);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (407385528, 'Tuck', 'Hargreave', 'Scorrer', 'Russia', '1944-04-29T20:46:10Z', 82);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (417501556, 'Anselm', 'Dieton', 'Arrundale', 'France', '1961-10-12T04:44:59Z', 81);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (314395886, 'Nisse', 'Edworthy', 'Elen', 'Russia', '1965-09-20T07:57:24Z', 68);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (498818858, 'Mahmoud', 'Sirey', 'Beveridge', 'Peru', '1990-08-10T05:38:33Z', 60);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (434815527, 'Jasun', 'Jansie', 'Van', 'China', '2003-02-26T09:50:57Z', 70);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (411081769, 'Fawn', 'Quixley', 'Capewell', 'Portugal', '1958-10-16T22:30:14Z', 81);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (453685810, 'Conrado', 'Olekhov', 'Shawl', 'Mexico', '2006-02-16T19:06:55Z', 62);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (495900773, 'Courtenay', 'Plowell', 'Twinbrow', 'Sweden', '1990-10-06T18:59:33Z', 66);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (463218221, 'Jenilee', 'Sibbe', 'McBay', 'Greece', '1936-03-19T01:41:55Z', 63);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (395129571, 'Yuma', 'Hewlings', 'Thunderman', 'Russia', '2006-05-26T15:36:31Z', 80);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (415750705, 'Vaughn', 'Androsik', 'Phoebe', 'Japan', '1973-09-06T12:55:22Z', 90);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (343771275, 'Alberto', 'Gaskell', 'Horburgh', 'Indonesia', '1991-01-19T04:12:43Z', 82);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (597998987, 'Les', 'Crumley', 'Lowdham', 'Qatar', '1995-01-10T20:08:56Z', 123);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (688399643, 'Audy', 'Gliddon', 'Matt', 'China', '1987-01-31T22:02:35Z', 108);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (549486566, 'Adelle', 'Lindop', 'Ahlin', 'Pakistan', '1946-10-29T12:23:44Z', 118);
