insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (418668790, 'Catherine', 'Oggers', 'Lafflin', 'Indonesia', '2006-01-10T22:49:34Z', 64);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (452713115, 'Nevins', 'Zecchinelli', 'Dominka', 'Poland', '1932-11-20T10:54:59Z', 84);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (426644889, 'Lambert', 'Elflain', 'Clow', 'Indonesia', '1949-04-23T06:29:40Z', 77);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (307976099, 'Bud', 'Garrick', 'Meekins', 'Indonesia', '2011-11-16T14:28:37Z', 67);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (377231983, 'Valentia', 'Foro', 'Rumgay', 'China', '1935-08-19T10:27:01Z', 60);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (386764394, 'Ring', 'Pritchett', 'Hould', 'Sweden', '1943-06-30T09:55:29Z', 66);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (364197870, 'Marris', 'Burrows', 'Brend', 'France', '1994-12-20T01:56:53Z', 76);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (313423191, 'Kacie', 'Eyden', 'Cowl', 'Belarus', '2004-01-07T21:50:03Z', 67);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (361474324, 'Holly', 'McCromley', 'Deporte', 'China', '1965-09-23T18:03:36Z', 69);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (413221698, 'Nappy', 'Matthai', 'Dishmon', 'China', '1954-02-13T12:42:18Z', 88);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (327235460, 'Aime', 'Belding', 'Strathearn', 'Peru', '1948-08-07T06:52:30Z', 67);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (343965814, 'Karee', 'Conti', 'Newcombe', 'Libya', '2014-01-04T09:06:47Z', 91);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (314006808, 'Doe', 'Lippett', 'Mongenot', 'Bolivia', '1944-05-27T05:48:15Z', 79);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (315368581, 'Sella', 'Wellen', 'Dufore', 'Indonesia', '2008-07-02T23:31:20Z', 62);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (434231910, 'Ileana', 'Fisk', 'Reboul', 'China', '2005-02-25T06:24:07Z', 58);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (437928151, 'Darell', 'Benit', 'Barnaby', 'China', '1970-06-04T02:20:13Z', 61);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (459132902, 'Odele', 'Bradick', 'Weedenburg', 'Peru', '2003-06-14T01:23:45Z', 92);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (439095385, 'Stepha', 'MacEveley', 'Hearne', 'South Korea', '1989-09-06T12:48:36Z', 82);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (377815600, 'Ree', 'Broadist', 'Basil', 'Venezuela', '1998-06-06T05:33:14Z', 59);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (498235241, 'Cirillo', 'Rotlauf', 'Akister', 'Brazil', '1966-12-07T20:11:58Z', 61);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (488702830, 'Orv', 'Basley', 'Strettell', 'Greece', '1976-02-18T14:14:38Z', 80);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (442791626, 'Windham', 'Turfs', 'Northridge', 'Albania', '1999-11-01T11:52:34Z', 87);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (400771202, 'Adriano', 'Bercher', 'Sabatier', 'Cuba', '1931-05-14T03:50:11Z', 90);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (437539073, 'Obed', 'Stoile', 'Larmour', 'Canada', '1957-11-02T00:06:34Z', 66);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (324122836, 'Hort', 'Realff', 'Barnsley', 'Philippines', '1950-04-26T10:01:52Z', 65);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (491815454, 'Ignatius', 'Garrioch', 'Stimson', 'Indonesia', '2001-05-08T08:29:49Z', 73);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (312255957, 'Shawnee', 'Tofts', 'Pendrill', 'Trinidad and Tobago', '1953-12-11T20:11:47Z', 78);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (431508364, 'Hammad', 'Unstead', 'Fullerd', 'China', '1994-12-08T01:36:47Z', 60);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (353887303, 'Sloan', 'Baudoux', 'Edworthy', 'Russia', '1951-12-21T18:56:36Z', 69);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (385208082, 'Bartel', 'Anger', 'Olivi', 'China', '1930-08-27T00:02:18Z', 80);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (371395813, 'Horten', 'Carlett', 'Annets', 'China', '1934-11-25T14:24:00Z', 91);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (368088650, 'Burg', 'Bourne', 'Leates', 'Russia', '2010-11-03T12:28:12Z', 81);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (442986165, 'Nerta', 'Veillard', 'Lovett', 'Indonesia', '1976-08-02T13:02:50Z', 79);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (323733758, 'Latisha', 'Truter', 'Spry', 'Ecuador', '2015-04-12T04:40:09Z', 79);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (433842832, 'Dyan', 'Phifer', 'Peinke', 'Nigeria', '2011-04-29T05:26:31Z', 86);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (449211413, 'Seamus', 'Burvill', 'Benoit', 'China', '1985-05-31T09:34:09Z', 67);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (387542550, 'Bay', 'Purveys', 'Demoge', 'Greece', '2017-12-22T23:02:06Z', 92);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (451545881, 'Trenna', 'Fulmen', 'Slimming', 'Ireland', '1956-01-23T11:48:46Z', 72);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (408358223, 'Lyndsey', 'MacDwyer', 'Sancto', 'Sweden', '1996-04-27T03:56:43Z', 62);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (480143114, 'Dru', 'Rathjen', 'Bramble', 'Sweden', '1971-07-30T15:24:12Z', 65);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (361668863, 'Sherlocke', 'Currm', 'Antoney', 'Philippines', '1978-06-25T12:56:12Z', 76);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (362641558, 'Pamela', 'Roches', 'Bozward', 'China', '1961-07-22T07:19:27Z', 62);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (366143260, 'Ibbie', 'Ovesen', 'Greensall', 'United States', '1984-10-16T11:33:23Z', 64);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (432481059, 'Timothy', 'Shewan', 'Saffin', 'Czech Republic', '2009-10-25T10:18:13Z', 92);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (397074961, 'Westleigh', 'Stubbert', 'Flatt', 'Honduras', '1955-07-11T13:25:22Z', 73);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (432286520, 'Ashley', 'Silverthorne', 'Robotham', 'Indonesia', '1986-01-24T22:46:10Z', 77);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (351552835, 'Mariska', 'Preist', 'Llorente', 'China', '1964-08-25T14:52:59Z', 60);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (346883899, 'Vernice', 'Grocott', 'Pyne', 'Albania', '1992-09-28T05:53:11Z', 84);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (359139856, 'Eleanora', 'Jeff', 'Duff', 'Greece', '2014-11-27T05:08:24Z', 70);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (373146664, 'Antonino', 'Aldren', 'Brosenius', 'United States', '1964-03-31T21:34:41Z', 70);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (300000000, 'Quintus', 'Simmans', 'Bashford', 'Uzbekistan', '1976-04-09T18:32:03Z', 83);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (350191062, 'Cecil', 'Butner', 'Deetch', 'Indonesia', '1951-02-15T06:06:21Z', 79);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (351358296, 'Merola', 'Pedrielli', 'Derdes', 'Greece', '1946-10-12T06:45:26Z', 91);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (357583544, 'Willi', 'Blinder', 'Gaitskell', 'Australia', '1955-05-27T21:52:33Z', 80);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (331320779, 'Mart', 'Harberer', 'Tarren', 'Russia', '1973-06-08T03:45:45Z', 70);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (479948575, 'Dannel', 'Cadwallader', 'Gewer', 'Philippines', '1970-06-24T19:36:32Z', 93);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (376453827, 'Loralee', 'Scourge', 'Koles', 'Philippines', '2016-02-17T08:26:39Z', 71);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (348829289, 'Lanie', 'Dulinty', 'Dutnall', 'Syria', '2016-05-07T10:40:07Z', 91);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (398436734, 'Martha', 'Lambourne', 'Rhoades', 'Indonesia', '1963-10-05T00:34:02Z', 92);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (460689214, 'Rickert', 'Eilhart', 'Mico', 'Syria', '1940-07-03T22:57:19Z', 84);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (415556166, 'Rodi', 'Monteith', 'Blew', 'Philippines', '1937-10-21T07:16:56Z', 64);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (340853190, 'Annabelle', 'Hammonds', 'Broe', 'Philippines', '1937-07-03T04:43:20Z', 63);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (403105670, 'Eveline', 'Semered', 'McRavey', 'United Kingdom', '1955-06-14T03:23:40Z', 58);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (390071557, 'Karie', 'Mounter', 'Longcaster', 'Thailand', '1974-07-06T23:19:46Z', 84);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (311866879, 'Maridel', 'Sparshutt', 'Waddilow', 'Kuwait', '1966-09-02T06:18:00Z', 88);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (479754036, 'Chicky', 'Demanche', 'Blenkensop', 'Russia', '1931-06-22T02:29:56Z', 92);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (404856521, 'Rodge', 'Schulkins', 'Turneux', 'Tanzania', '1974-08-24T20:32:31Z', 89);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (325484609, 'Arabelle', 'Dyball', 'Borsay', 'Ukraine', '1958-05-01T08:37:32Z', 81);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (480532192, 'Dewain', 'Yard', 'Barbey', 'Saint Kitts and Nevis', '1969-09-05T23:09:43Z', 70);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (474112405, 'Nichole', 'Haycock', 'Girtin', 'Canada', '2002-05-07T22:54:30Z', 71);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (495511695, 'Alic', 'Domino', 'Bessent', 'Philippines', '1943-07-09T11:37:38Z', 59);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (307197943, 'Maxi', 'Bannard', 'Laraway', 'Philippines', '1977-10-19T16:07:32Z', 72);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (374897515, 'Carmen', 'Miell', 'Measom', 'United States', '1979-09-08T12:18:18Z', 60);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (458160207, 'Clement', 'Niessen', 'Blandford', 'Russia', '1948-11-12T08:35:33Z', 75);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (462440065, 'Emmet', 'Croy', 'Dowall', 'Indonesia', '2009-06-25T02:53:28Z', 59);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (356805388, 'Malorie', 'Retchless', 'Mueller', 'Spain', '1992-02-16T08:30:19Z', 91);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (372757586, 'Adel', 'Lampaert', 'Westcarr', 'Ethiopia', '1954-01-09T09:58:26Z', 61);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (396685883, 'Charlton', 'Foskin', 'Kidman', 'South Africa', '1951-06-04T17:57:44Z', 60);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (394740493, 'Raven', 'Tarte', 'Geerdts', 'Poland', '2015-06-29T17:00:59Z', 70);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (356221771, 'Remy', 'Sandeford', 'Kimbury', 'Indonesia', '1981-02-23T16:47:24Z', 61);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (457576590, 'Grissel', 'Kollaschek', 'Elegood', 'Czech Republic', '1951-01-07T04:21:54Z', 84);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (434620988, 'Artie', 'McCafferky', 'Pirkis', 'Indonesia', '1991-01-07T11:38:36Z', 74);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (392016947, 'Lonnie', 'Gossage', 'Ilyinski', 'United States', '1997-01-02T11:39:16Z', 84);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (323539219, 'Cherey', 'Redish', 'McAuslan', 'Poland', '1961-12-28T01:46:14Z', 86);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (396296805, 'Meredith', 'Cheesman', 'Kuhnwald', 'Czech Republic', '1966-01-20T19:59:12Z', 72);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (414583471, 'Tremain', 'Raden', 'Fairham', 'Cameroon', '2001-12-20T13:52:02Z', 83);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (332293474, 'Fianna', 'O''Scully', 'Dealy', 'Poland', '1963-03-16T22:10:38Z', 75);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (308365177, 'Andy', 'Apfelmann', 'Tooker', 'Morocco', '2001-06-21T03:33:36Z', 76);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (485201128, 'Emlen', 'Vivian', 'Given', 'Czech Republic', '2016-03-15T14:58:41Z', 68);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (335017020, 'Avie', 'Crossgrove', 'Mityukov', 'Indonesia', '1987-09-02T15:48:00Z', 85);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (304863475, 'Ingelbert', 'Hardan', 'Sheeran', 'China', '1935-12-19T18:26:54Z', 67);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (322761063, 'Lucius', 'Gonnel', 'Draycott', 'Dominican Republic', '1976-08-15T22:41:58Z', 66);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (368477728, 'Ardelle', 'Lepope', 'Gheraldi', 'Sweden', '1984-03-28T15:35:29Z', 85);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (318870283, 'Mahmoud', 'Lapwood', 'Ion', 'Russia', '1938-05-23T11:15:40Z', 89);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (333849786, 'Marni', 'Rosenkranc', 'Hoodlass', 'Peru', '1939-08-22T20:44:04Z', 75);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (456603895, 'Julie', 'Rosenberger', 'Haney', 'Indonesia', '2011-10-09T23:58:16Z', 74);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (477419568, 'Orsola', 'Keynes', 'Struss', 'France', '1931-05-20T06:58:16Z', 66);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (440457158, 'Elka', 'Pessold', 'Kitley', 'Burkina Faso', '1998-08-13T01:42:50Z', 68);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (324900992, 'Melita', 'Risby', 'Balke', 'Yemen', '1970-01-16T08:25:00Z', 66);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (365559643, 'Herold', 'Andretti', 'Clevely', 'Libya', '2003-09-06T10:21:17Z', 80);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (461467370, 'Mariana', 'Welham', 'Colbourne', 'Indonesia', '2006-11-14T09:37:15Z', 62);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (437344534, 'Curran', 'Screase', 'Markos', 'Russia', '1997-06-03T01:56:52Z', 64);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (348440211, 'Kikelia', 'Lewens', 'Crumbie', 'Malaysia', '1948-10-11T12:10:47Z', 64);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (317508510, 'Dreddy', 'Pietrowicz', 'Ovett', 'South Africa', '1951-07-04T08:22:32Z', 59);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (392989642, 'Chad', 'Doles', 'Bruyntjes', 'Greece', '1933-01-05T08:25:56Z', 73);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (334238864, 'Arlan', 'Womack', 'Bellenie', 'Russia', '1986-06-19T18:02:49Z', 58);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (300389078, 'Pete', 'Micheli', 'Brobeck', 'Iran', '2010-10-14T19:42:03Z', 87);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (354276381, 'Rudolfo', 'Gartside', 'Hussell', 'Poland', '1992-02-08T18:11:31Z', 89);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (496678929, 'Juline', 'Ganter', 'Vittori', 'Peru', '1944-08-03T12:08:32Z', 70);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (410887230, 'Aili', 'Nelsen', 'Allbon', 'Poland', '1990-08-19T15:42:13Z', 58);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (395907727, 'Elsie', 'Geale', 'Larroway', 'Portugal', '1941-12-21T19:43:28Z', 75);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (338324183, 'Horten', 'Mangin', 'Rable', 'Thailand', '1939-12-08T03:12:02Z', 58);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (393962337, 'Chan', 'Arcase', 'Radish', 'China', '1956-12-03T09:01:14Z', 72);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (393378720, 'Persis', 'Lindl', 'Krates', 'Latvia', '1950-03-18T03:35:45Z', 87);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (342604041, 'Mariann', 'Gerred', 'Boulden', 'Indonesia', '2017-12-26T19:09:29Z', 82);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (366337799, 'Maressa', 'Flett', 'Charke', 'Argentina', '1972-02-16T10:43:45Z', 61);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (390849713, 'Heath', 'Szymanowicz', 'Seville', 'Bangladesh', '1931-12-25T06:27:03Z', 69);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (432091981, 'Jarad', 'Palfreeman', 'Bardsley', 'Ukraine', '1966-02-19T08:01:16Z', 73);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (301167234, 'Darren', 'Talks', 'Eborall', 'Sweden', '1947-03-05T01:01:10Z', 85);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (380150068, 'Vinnie', 'Gray', 'Mueller', 'China', '1942-06-28T15:08:07Z', 78);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (440846236, 'Corbett', 'Cuesta', 'Wickwarth', 'Indonesia', '1999-08-10T21:32:03Z', 57);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (402327514, 'Bill', 'Benkhe', 'Bryant', 'Indonesia', '1954-11-09T20:50:24Z', 77);
