insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (179706369, 'Lovell', 'Mecco', 'Pavinese', 'Czech Republic', '1948-11-27T05:59:23Z', 45);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (148102098, 'Bamby', 'Honatsch', 'Grastye', 'China', '1996-08-03T23:29:45Z', 1);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (292607161, 'Florentia', 'Cosin', 'Provis', 'Philippines', '1960-07-23T00:37:29Z', 17);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (221845397, 'Albie', 'Tuckie', 'Jankiewicz', 'Peru', '1932-05-30T01:41:42Z', 21);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (159233162, 'Jemie', 'Gallihawk', 'Dunphie', 'China', '1998-03-05T11:12:44Z', 44);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (227410929, 'Nannette', 'Mathelin', 'Kem', 'Poland', '2011-09-21T09:14:00Z', 38);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (246293984, 'Wadsworth', 'Rizzi', 'Heustice', 'Indonesia', '1939-12-11T12:14:41Z', 31);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (217472479, 'Alanna', 'Guerro', 'Miliffe', 'Ukraine', '1975-01-03T18:58:57Z', 7);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (268754881, 'Elke', 'Pautot', 'Gabbitus', 'Lesotho', '1959-09-05T17:47:39Z', 24);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (261996735, 'Gregoire', 'Krout', 'Lazare', 'Greece', '1971-09-05T09:09:42Z', 27);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (223038011, 'Tod', 'Flarity', 'Deware', 'Sweden', '1939-04-05T12:57:04Z', 29);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (122063359, 'Frederic', 'Casperri', 'Crimmins', 'Albania', '1948-08-12T21:36:40Z', 26);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (249076750, 'Essa', 'Batecok', 'Keningham', 'Canada', '1968-10-29T01:04:30Z', 17);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (268556112, 'Bald', 'Gatherer', 'McGiffin', 'China', '1934-09-13T00:20:10Z', 6);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (206937722, 'Vivi', 'Scolli', 'O''Hone', 'China', '1966-12-23T04:38:24Z', 16);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (264580732, 'Karoly', 'De Mico', 'Vaar', 'Philippines', '1986-01-07T19:38:28Z', 44);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (198589424, 'Killian', 'Feronet', 'Abrahmson', 'Russia', '1958-06-19T18:20:55Z', 29);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (219261400, 'Sheena', 'Lean', 'Conti', 'China', '2006-09-14T14:56:33Z', 51);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (262791811, 'Noellyn', 'Rigardeau', 'Cassimer', 'Indonesia', '1961-09-25T16:27:45Z', 30);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (276904410, 'Harwilll', 'Shippam', 'Kolakovic', 'China', '1957-06-08T07:39:03Z', 21);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (234169075, 'Kippy', 'Saltwell', 'Farnorth', 'China', '1950-03-28T09:15:01Z', 18);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (179308831, 'Emelita', 'MacEntee', 'Aronovich', 'Mexico', '1932-09-22T12:45:34Z', 34);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (165792539, 'Rorie', 'Hoult', 'Andriveau', 'Philippines', '2016-03-23T12:02:47Z', 40);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (273724106, 'Dorie', 'Sawyers', 'Aleavy', 'Indonesia', '2004-08-02T19:59:47Z', 20);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (241324759, 'Eryn', 'Grushin', 'Freckingham', 'China', '1989-01-18T13:27:33Z', 30);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (264183194, 'Ferdinand', 'Ridgwell', 'Yerrall', 'China', '2009-01-10T12:59:14Z', 20);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (155456551, 'Natasha', 'Silverlock', 'Humphrys', 'Peru', '2008-07-16T23:42:17Z', 55);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (202564804, 'Rica', 'Lukasik', 'Duchan', 'South Africa', '1995-09-18T17:57:07Z', 36);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (132796885, 'Erica', 'Clemmow', 'Gibke', 'Japan', '2014-11-05T01:53:12Z', 51);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (130212888, 'Amargo', 'Rigden', 'Vickers', 'Ukraine', '1941-10-25T17:50:17Z', 50);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (126635046, 'Marlena', 'Paulisch', 'Jonsson', 'China', '1985-12-04T17:40:13Z', 41);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (263586887, 'Cassey', 'Crandon', 'Cordon', 'Mexico', '1979-03-29T02:06:50Z', 13);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (237349379, 'Curt', 'Crisell', 'Fearnyhough', 'Ecuador', '2003-08-05T13:25:59Z', 30);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (136175958, 'Blondy', 'Garroway', 'Print', 'Indonesia', '1971-04-21T04:25:33Z', 26);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (130411657, 'Jolene', 'Aikett', 'Melbourne', 'Ukraine', '1967-12-25T05:00:36Z', 5);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (119876900, 'Carly', 'Maase', 'Spaldin', 'Philippines', '1940-04-20T19:51:41Z', 28);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (293998544, 'Harald', 'Alenov', 'Mussilli', 'Brazil', '1966-09-02T13:28:38Z', 42);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (236951841, 'Lyndsey', 'St. Queintain', 'Forkan', 'Estonia', '2003-06-08T08:49:44Z', 10);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (147903329, 'Clare', 'Fearnley', 'Stidson', 'Chad', '1995-04-14T14:15:33Z', 46);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (233175230, 'Tamarra', 'Okeshott', 'Pablos', 'Sweden', '2004-03-26T23:04:21Z', 17);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (204552494, 'Gwendolen', 'Aslum', 'Brisard', 'Indonesia', '2007-02-15T11:56:04Z', 54);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (187458360, 'Amye', 'Swindon', 'Harome', 'China', '1939-03-02T20:16:12Z', 50);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (191036202, 'Taylor', 'Margeram', 'Gooderidge', 'China', '1968-02-10T16:42:48Z', 37);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (215484789, 'Jude', 'Durban', 'Maharg', 'Peru', '1987-04-05T15:18:25Z', 27);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (172153147, 'Janine', 'Gutch', 'Ruvel', 'Finland', '1982-12-31T11:29:52Z', 26);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (221050321, 'Dulciana', 'Bendson', 'Sheaber', 'Russia', '1981-10-29T16:01:49Z', 7);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (269947495, 'Lethia', 'Endle', 'Truggian', 'Indonesia', '1970-08-14T07:21:56Z', 7);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (195806658, 'Chrysler', 'Hansley', 'Lalley', 'Russia', '2008-06-28T22:33:29Z', 31);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (273922875, 'Rayshell', 'Atherton', 'Whate', 'Ukraine', '2019-03-05T05:32:43Z', 42);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (255636127, 'Daffy', 'Kesten', 'Fausset', 'South Korea', '1950-09-20T03:04:11Z', 11);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (284656401, 'Correna', 'Beatson', 'Tierney', 'Sweden', '2010-04-19T01:54:13Z', 20);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (128622736, 'Ulric', 'Mewton', 'Barritt', 'Albania', '1933-10-02T23:38:40Z', 6);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (261797966, 'Godfry', 'Tavinor', 'Arthy', 'Russia', '1988-02-22T10:38:53Z', 23);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (115901520, 'Shawnee', 'Aireton', 'Klebes', 'Brazil', '2003-01-15T18:49:59Z', 1);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (124647356, 'Sinclare', 'Wilcott', 'Hellier', 'Philippines', '1968-06-20T15:02:22Z', 33);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (157643010, 'Alberik', 'Ishaki', 'Gristhwaite', 'China', '1935-01-30T21:27:09Z', 52);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (239138300, 'Scottie', 'Likely', 'Copestick', 'Indonesia', '2015-05-05T09:06:22Z', 52);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (176128527, 'Crin', 'Allwright', 'Devote', 'China', '1954-12-19T08:43:28Z', 41);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (177519910, 'Andres', 'Paddy', 'Chimes', 'Israel', '1958-01-08T14:50:46Z', 55);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (146313177, 'Teena', 'Speirs', 'Hammerson', 'Sweden', '1940-07-18T06:00:31Z', 41);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (265375808, 'Randolph', 'Walbrun', 'Crichley', 'China', '2007-12-14T23:29:28Z', 13);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (165395001, 'Bear', 'Wardingly', 'McGeachy', 'Brazil', '1994-11-11T08:58:15Z', 41);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (299564076, 'Lyle', 'Wolffers', 'Skells', 'Peru', '1950-12-07T18:12:43Z', 42);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (293601006, 'Bethanne', 'Klimpt', 'Drakeford', 'China', '1934-11-28T23:33:05Z', 29);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (222441704, 'Wileen', 'Gloy', 'Withrop', 'Poland', '1985-02-28T07:42:49Z', 38);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (144723025, 'Jessamine', 'Renneke', 'Colkett', 'Indonesia', '1940-10-19T01:23:28Z', 37);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (154661475, 'Renaud', 'Fintoph', 'McColl', 'Honduras', '1970-02-08T11:19:12Z', 12);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (116696596, 'Abdul', 'Gotcliffe', 'Bourthouloume', 'China', '1979-08-28T00:28:56Z', 14);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (192228816, 'Weylin', 'Larkby', 'Elliot', 'China', '2005-02-26T16:29:54Z', 29);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (121069514, 'Floris', 'Danilin', 'Beddall', 'Indonesia', '1942-01-07T11:13:36Z', 44);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (299365307, 'Priscilla', 'MacSwayde', 'Kingsnode', 'China', '1988-08-28T05:36:55Z', 50);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (121268283, 'Thedrick', 'Brane', 'Bottinelli', 'China', '1931-12-06T00:59:39Z', 22);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (207931567, 'Rabi', 'Ledward', 'Tadgell', 'Czech Republic', '1934-08-07T17:02:04Z', 37);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (195011582, 'Tessy', 'Kadd', 'Smart', 'Saint Barthelemy', '1983-04-25T11:01:54Z', 12);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (183880518, 'Claribel', 'Tournay', 'Monson', 'Russia', '1994-12-30T06:09:53Z', 16);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (252853361, 'Mitzi', 'Yaus', 'Boyne', 'Indonesia', '1960-09-07T16:25:53Z', 55);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (193023892, 'Celie', 'Keats', 'Dikles', 'Sri Lanka', '1951-01-15T20:13:49Z', 45);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (113913830, 'Ceciley', 'Trippett', 'Jacqueminet', 'Portugal', '1991-01-12T04:19:10Z', 21);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (159630700, 'Norby', 'Calles', 'Taberner', 'Portugal', '1996-08-01T12:02:40Z', 49);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (255834896, 'Tiffani', 'Sommers', 'Van den Hof', 'China', '1976-05-11T11:41:11Z', 10);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (105167994, 'Pail', 'Mitrikhin', 'Caldera', 'Russia', '1936-10-22T10:18:36Z', 45);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (160028238, 'Lydia', 'Dumbrell', 'Ringer', 'Canada', '1939-08-14T10:32:55Z', 52);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (265773346, 'Michael', 'Colegate', 'Mainland', 'Ukraine', '1981-08-24T01:59:35Z', 37);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (170364226, 'Tawnya', 'Gascone', 'Reagan', 'Iran', '1990-07-21T15:38:21Z', 11);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (278892100, 'Miltie', 'Lamond', 'Dawby', 'France', '1943-01-01T23:17:09Z', 35);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (209322950, 'Joshuah', 'Bartolomivis', 'Honnicott', 'Russia', '1950-09-26T11:38:11Z', 52);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (224628163, 'Reggy', 'Edelheid', 'Irving', 'Russia', '1997-01-07T16:41:19Z', 14);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (127430122, 'Maren', 'Baike', 'Dye', 'Argentina', '1986-07-13T23:39:50Z', 4);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (249673057, 'Trueman', 'Childs', 'Kolczynski', 'China', '1931-10-10T17:26:29Z', 3);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (194017737, 'Clywd', 'Pendre', 'Regardsoe', 'Indonesia', '1977-08-23T06:54:57Z', 8);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (260406583, 'Marleah', 'Banasevich', 'McIntosh', 'South Korea', '2007-09-22T09:25:36Z', 37);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (178911293, 'Brittaney', 'Matejka', 'Ley', 'Philippines', '1986-06-17T14:14:39Z', 43);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (134784575, 'Kristien', 'Barbara', 'Milburne', 'Indonesia', '1997-06-01T08:45:53Z', 30);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (200378345, 'Lezlie', 'Brodie', 'Bockmann', 'Ukraine', '1995-11-12T04:22:48Z', 49);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (241722297, 'Monroe', 'Roseaman', 'Allington', 'Indonesia', '1998-03-09T11:48:37Z', 24);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (117491672, 'Baron', 'Dorbin', 'Lamping', 'China', '1994-11-08T00:59:24Z', 41);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (251660747, 'Gizela', 'Fenelow', 'Goldhill', 'Afghanistan', '1969-09-23T18:19:40Z', 18);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (247685367, 'Bradney', 'Scripps', 'Coleson', 'El Salvador', '1954-01-13T10:00:03Z', 11);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (173345761, 'Allister', 'Finders', 'McGowran', 'Russia', '1934-07-09T01:53:04Z', 29);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (237150610, 'Selene', 'Reinard', 'Flay', 'China', '1936-04-26T12:05:23Z', 35);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (184675594, 'Jaye', 'Armin', 'Lidster', 'Ukraine', '1979-01-16T10:41:28Z', 14);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (276109334, 'Trixy', 'Devorill', 'Sargerson', 'China', '1949-08-04T12:44:54Z', 44);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (202763573, 'Yorke', 'Rylance', 'Rabbet', 'Philippines', '1991-05-30T14:04:28Z', 18);
