insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (600531764, 'Che', 'Dowber', 'Reiner', 'Russia', '1940-07-14T23:47:33Z', 151);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (647095895, 'Urson', 'Treanor', 'Sweetnam', 'Indonesia', '1996-11-10T02:05:42Z', 136);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (512079398, 'Ronni', 'Rudolf', 'Marchington', 'Poland', '2000-07-08T13:57:06Z', 149);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (557669384, 'Shurwood', 'Phlippi', 'Doppler', 'Philippines', '1972-08-29T15:37:49Z', 135);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (594492065, 'Merlina', 'Bollon', 'Reiach', 'Portugal', '2011-03-09T15:08:12Z', 118);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (563124596, 'Obadiah', 'Sellen', 'Kaiser', 'China', '1954-04-12T08:34:30Z', 155);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (690737591, 'Harriett', 'Sabatini', 'Matei', 'United States', '1967-11-02T11:06:12Z', 146);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (694829000, 'Aristotle', 'Dreghorn', 'Hayselden', 'Philippines', '1984-06-27T23:51:48Z', 116);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (671254691, 'Giulietta', 'Toombs', 'Lewsley', 'Indonesia', '1961-09-19T02:35:33Z', 153);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (673202981, 'Raphael', 'Drakers', 'Reffe', 'Mexico', '1977-05-22T13:25:59Z', 108);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (581243693, 'Hermione', 'Baugham', 'Prime', 'Indonesia', '1987-02-14T18:30:47Z', 106);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (689568617, 'Cathy', 'Nibloe', 'Maggill''Andreis', 'Poland', '1979-09-05T02:21:35Z', 121);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (622547441, 'Tricia', 'Mardall', 'Birwhistle', 'France', '1982-07-31T06:45:27Z', 96);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (608130095, 'Brant', 'Grotty', 'Bellsham', 'Japan', '1993-12-01T08:04:30Z', 144);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (699310067, 'Carroll', 'O''Cooney', 'MacMenamin', 'China', '1935-10-02T16:59:07Z', 136);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (622352612, 'Glenn', 'Druce', 'Narramore', 'Albania', '1998-12-10T02:19:52Z', 134);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (522210506, 'Dolf', 'Oventon', 'Crop', 'Angola', '1975-05-17T08:32:46Z', 141);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (585335102, 'Sydney', 'Mundee', 'Pearcehouse', 'Uruguay', '1979-04-30T09:40:19Z', 126);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (566826347, 'Lorraine', 'Pagelsen', 'Aynscombe', 'Sweden', '1985-01-21T12:37:58Z', 135);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (646901066, 'Ervin', 'Hirtzmann', 'Aldis', 'Poland', '1996-07-21T07:05:25Z', 136);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (674761613, 'Hadrian', 'Witten', 'Rusling', 'France', '1985-09-26T13:44:32Z', 139);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (639107906, 'Jobye', 'Clemence', 'Powdrill', 'Malawi', '1995-10-01T17:23:33Z', 125);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (504870725, 'Abbe', 'Martinolli', 'Leavesley', 'China', '1988-02-15T05:13:09Z', 146);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (545200328, 'Ronna', 'Bartels', 'Jaime', 'China', '1938-09-25T05:03:05Z', 120);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (554162462, 'Nanon', 'Ielden', 'Maltster', 'China', '2003-07-05T12:03:18Z', 154);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (659370122, 'Zebedee', 'Ambrosoli', 'Chesshire', 'China', '1976-09-18T00:56:15Z', 157);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (689178959, 'Angel', 'Speere', 'Igounet', 'Greece', '1937-05-07T10:56:07Z', 154);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (694049684, 'Malorie', 'Bradford', 'Poltun', 'Czech Republic', '1942-06-15T00:57:58Z', 134);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (606376634, 'Sheilah', 'Gascar', 'Kildale', 'China', '1965-04-25T13:49:04Z', 105);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (505260383, 'Emmy', 'Zamboniari', 'Van Der Weedenburg', 'Czech Republic', '1980-07-22T09:36:31Z', 138);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (657811490, 'Calley', 'Carwithen', 'Biddleston', 'France', '1931-06-24T09:01:24Z', 117);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (688009985, 'Hanna', 'Costi', 'Murton', 'Peru', '1991-11-27T02:26:23Z', 155);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (541108919, 'Demetre', 'Savaage', 'Zuanelli', 'Russia', '1972-09-30T16:40:19Z', 121);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (690542762, 'Noami', 'Baccas', 'Arsey', 'Brazil', '1951-04-07T09:20:02Z', 158);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (549096908, 'Cecilla', 'Lundy', 'Haffard', 'Indonesia', '1934-07-22T16:31:37Z', 116);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (532926101, 'Kira', 'Fidge', 'Spincke', 'El Salvador', '1987-08-02T11:56:49Z', 95);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (506039699, 'Phil', 'Oxherd', 'Byham', 'Brazil', '1965-09-04T21:10:56Z', 136);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (588062708, 'Cordelia', 'Woolvett', 'Grenkov', 'Sweden', '1957-02-27T21:44:31Z', 97);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (653330423, 'Lisetta', 'Swatman', 'Whapple', 'Greece', '1948-10-01T04:53:58Z', 141);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (670085717, 'Allin', 'Madgett', 'Bennington', 'Ukraine', '1941-10-30T20:18:29Z', 138);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (567410834, 'Emelia', 'Owlner', 'Hallowell', 'United States', '1962-06-05T22:43:04Z', 153);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (586309247, 'Cesaro', 'Raynor', 'Aggett', 'China', '1969-12-01T21:42:56Z', 144);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (641640683, 'Lizzy', 'Stains', 'Ucceli', 'Russia', '1931-03-03T02:49:48Z', 157);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (548317592, 'Melina', 'McCullouch', 'Lisciandri', 'Argentina', '1976-11-07T12:25:09Z', 104);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (523379480, 'Alida', 'Stiegar', 'Tumbridge', 'Russia', '1971-09-28T06:36:55Z', 121);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (586504076, 'Maisey', 'Dauncey', 'Harbinson', 'China', '1935-02-20T04:34:33Z', 100);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (654694226, 'Lockwood', 'Birkenshaw', 'Bispham', 'Benin', '2010-11-10T17:31:31Z', 139);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (661318412, 'Shirl', 'Matzl', 'Goldup', 'Macedonia', '1930-10-30T07:30:08Z', 102);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (562929767, 'Anson', 'Baradel', 'Meijer', 'Indonesia', '2006-11-23T07:31:46Z', 101);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (663656360, 'Rafaela', 'Ruddock', 'Hall', 'Brazil', '1953-03-08T14:42:06Z', 116);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (571697072, 'Violet', 'Vowden', 'Josifovitz', 'Indonesia', '1999-10-03T22:00:57Z', 147);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (584945444, 'Shandeigh', 'Voelker', 'MacPeice', 'Indonesia', '1944-01-06T05:31:52Z', 158);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (628781969, 'Avie', 'Eastbury', 'Collibear', 'Indonesia', '2006-02-18T15:59:59Z', 127);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (576372968, 'Jeniffer', 'Bausmann', 'Cornels', 'Indonesia', '1963-10-21T02:52:13Z', 134);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (662877044, 'Conny', 'Vennings', 'Bembridge', 'China', '2002-01-04T04:09:43Z', 113);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (697751435, 'Nichole', 'Blayd', 'Chominski', 'Indonesia', '1981-08-03T22:45:41Z', 110);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (625664705, 'Terza', 'Roderigo', 'Laffranconi', 'Greece', '1968-01-26T21:22:19Z', 96);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (518898413, 'Herve', 'Beresford', 'Chipps', 'Russia', '1934-06-15T23:00:43Z', 123);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (520457045, 'Sheela', 'Flaxman', 'Mathieu', 'China', '1971-07-28T01:54:11Z', 154);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (525522599, 'Daniele', 'Izkovici', 'Duinbleton', 'Mexico', '1948-08-11T21:11:09Z', 96);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (503117264, 'Corena', 'Pecey', 'Abbatucci', 'Ukraine', '2009-06-26T10:11:29Z', 152);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (686451353, 'Aretha', 'Ellesmere', 'Axell', 'Japan', '1939-02-09T02:53:33Z', 128);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (534484733, 'Bree', 'Gaskill', 'Dobson', 'Sweden', '2017-08-20T21:57:26Z', 157);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (598388645, 'Sawyer', 'Terrans', 'Cerith', 'Philippines', '2011-02-11T12:57:35Z', 148);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (533510588, 'Hulda', 'Bernardotte', 'Emmanuele', 'Russia', '1979-05-09T21:49:37Z', 98);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (693270368, 'Frank', 'Lydiatt', 'Menelaws', 'China', '1943-05-11T01:34:08Z', 102);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (514222517, 'Charley', 'Luesley', 'Larvent', 'Canada', '1976-09-19T11:00:34Z', 129);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (598583474, 'Kimmy', 'Heinzler', 'Wasteney', 'Iran', '1950-02-08T15:58:13Z', 147);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (566241860, 'Aurilia', 'Parrot', 'Deeves', 'Indonesia', '2017-12-19T15:50:00Z', 123);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (655278713, 'Worthington', 'Gabbitas', 'Waples', 'Croatia', '1948-05-09T10:52:12Z', 153);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (607935266, 'Phip', 'Blackadder', 'Clemerson', 'Portugal', '1976-11-21T06:26:46Z', 112);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (514807004, 'Dominica', 'Cheesley', 'MacGilmartin', 'China', '1943-03-10T14:43:09Z', 95);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (532146785, 'Vicki', 'Cuolahan', 'Warby', 'China', '1977-03-21T02:47:59Z', 106);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (654889055, 'Cesar', 'Nashe', 'Eldin', 'Indonesia', '1999-08-21T21:03:39Z', 147);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (597414500, 'Beverlee', 'Capponeer', 'Bracegirdle', 'Russia', '2016-07-10T09:13:17Z', 120);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (527665718, 'Erie', 'Sankey', 'Slocom', 'Ukraine', '1958-01-15T11:10:29Z', 104);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (586114418, 'Giorgi', 'Roels', 'Batkin', 'Brazil', '1984-05-12T01:41:59Z', 158);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (547927934, 'Carson', 'Kisting', 'Felix', 'China', '1950-03-02T12:55:36Z', 137);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (652161449, 'Vladamir', 'Cleall', 'Couldwell', 'Greece', '2008-12-20T22:00:29Z', 96);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (627807824, 'Sasha', 'Emsden', 'Birkhead', 'Philippines', '1936-04-29T00:12:12Z', 95);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (621183638, 'Celestia', 'Venes', 'Lentsch', 'Brazil', '1991-11-22T17:48:41Z', 125);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (699115238, 'Bobbie', 'Musto', 'Couve', 'Philippines', '2001-09-13T01:49:43Z', 142);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (596635184, 'Torie', 'MacFadzan', 'Blasik', 'China', '1992-06-01T04:37:36Z', 138);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (607740437, 'Ignaz', 'Eplett', 'Stooke', 'Chile', '2006-10-22T00:12:06Z', 123);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (576178139, 'Stella', 'Orteau', 'Leisk', 'Brazil', '1966-10-05T00:31:25Z', 118);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (684892721, 'Kimble', 'Barrim', 'Keiling', 'Afghanistan', '1999-03-02T03:23:31Z', 101);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (588647195, 'Allene', 'Hassard', 'Mathers', 'Germany', '1959-11-20T05:01:02Z', 101);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (591569630, 'Gigi', 'Jiru', 'McCaw', 'Netherlands', '2017-03-07T17:30:58Z', 135);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (552019343, 'Magdalene', 'Marston', 'Blowick', 'Belarus', '1972-06-30T03:24:37Z', 120);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (673982297, 'Gustav', 'Dawdary', 'Glasspool', 'China', '1940-02-18T10:59:01Z', 137);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (680411654, 'Hercules', 'Sharplin', 'Suatt', 'Philippines', '1948-03-21T15:15:10Z', 95);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (552409001, 'Niall', 'Capponer', 'Gilston', 'Pakistan', '2009-01-31T00:55:27Z', 130);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (586698905, 'Ashlan', 'Warboy', 'McComish', 'China', '1978-07-25T08:33:51Z', 156);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (692685881, 'Cynde', 'Sandiland', 'Whistance', 'France', '2000-05-20T23:57:17Z', 109);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (689958275, 'Michail', 'Gobel', 'Marking', 'Finland', '1943-07-17T02:55:45Z', 142);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (573645362, 'Lenee', 'Oosthout de Vree', 'Font', 'Netherlands', '2010-01-12T22:06:10Z', 140);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (519093242, 'Meade', 'Laughtisse', 'Kissick', 'Sweden', '2001-02-08T08:58:43Z', 134);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (630925088, 'Duffy', 'Lobell', 'Sturzaker', 'Indonesia', '1973-07-21T17:31:14Z', 153);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (644952776, 'Datha', 'Castano', 'Snoddin', 'Sweden', '1945-02-27T01:13:24Z', 148);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (523574309, 'Any', 'Fryers', 'MacCarter', 'France', '1993-01-01T22:01:23Z', 121);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (672618494, 'Barnett', 'Raddan', 'Piscopo', 'Tanzania', '2015-11-20T22:25:30Z', 158);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (554941778, 'Binny', 'Belsey', 'Brainsby', 'Japan', '1973-12-03T02:37:31Z', 100);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (582997154, 'Carlotta', 'Ruslen', 'Annwyl', 'China', '1976-03-18T02:05:42Z', 105);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (671449520, 'Marianna', 'Sorensen', 'Perse', 'Russia', '1935-09-30T02:05:09Z', 158);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (543252038, 'Jorie', 'D''Onisi', 'Coviello', 'United States', '2014-07-16T14:18:32Z', 109);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (653720081, 'Keelby', 'Trowsdale', 'Kinloch', 'Ukraine', '2013-03-23T22:05:12Z', 146);
insert into Persona (cedula, nombre, primerApellido, segundoApellido, nacionalidad, fechaNacimiento, idUbicacion) values (555136607, 'Stefanie', 'Pinson', 'Knight', 'Russia', '1931-12-12T18:59:12Z', 98);
